alg,dataset,n_samples,missing_percentage,time,execution,ACC,MCC,F1,precision,recall,ami,ari,completeness,silhouette,vrc,db,dunn,random_acc,random_f1,label_sizes,cluster_sizes,relative_label_sizes,relative_cluster_sizes,n_clustered_samples,percentage_clustered_samples,sub_ACC,sub_MCC,sub_F1,sub_precision,sub_recall,sub_ami,sub_ari,sub_completeness,sub_silhouette,sub_vrc,sub_db,sub_dunn,sub_random_acc,sub_random_f1,sub_label_sizes,sub_relative_label_sizes,comments
NEMO,nutrimouse_genotype,40,0,0.04104670899687335,9,0.925,0.8597269536210952,0.9189189189189189,1.0,0.85,0.6782753531767348,0.7153659017686896,0.690029896114635,0.11071107668225584,5.880721524642881,2.42022028344877,0.3471209414459209,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 23, 1: 17}","{1: 0.5, 0: 0.5}","{0: 0.575, 1: 0.425}",40,100,,,,,,,,,,,,,,,,,
NEMO,nutrimouse_genotype,40,10,0.039113428007112816,0,0.6,0.3333333333333333,0.33333333333333337,1.0,0.2,0.12090523533434401,0.031055900621118012,0.23034661225454323,-0.026807545291035427,1.0040473574255153,3.2217675495320286,0.26853420360289704,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 36, 1: 4}","{1: 0.5, 0: 0.5}","{0: 0.9, 1: 0.1}",40,100,,,,,,,,,,,,,,,,,
NEMO,nutrimouse_genotype,40,10,0.03892728200298734,1,0.6,0.3333333333333333,0.33333333333333337,1.0,0.2,0.12090523533434401,0.031055900621118012,0.23034661225454323,0.06938168698082084,1.6862885373322005,2.7374581564068414,0.2764214166464064,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 36, 1: 4}","{1: 0.5, 0: 0.5}","{0: 0.9, 1: 0.1}",40,100,,,,,,,,,,,,,,,,,
NEMO,nutrimouse_genotype,40,10,0.03893536399118602,2,0.6,0.3333333333333333,0.33333333333333337,1.0,0.2,0.12090523533434401,0.031055900621118012,0.23034661225454323,-0.05171131934351725,0.8330729379892142,3.479299472946985,0.26278123030706824,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 36, 1: 4}","{1: 0.5, 0: 0.5}","{0: 0.9, 1: 0.1}",40,100,,,,,,,,,,,,,,,,,
NEMO,nutrimouse_genotype,40,10,0.04108413399080746,3,0.825,0.693888666488711,0.787878787878788,1.0,0.65,0.45279642180973073,0.4092071611253197,0.4866269282698004,0.05465415024376893,3.352653503565392,3.0493642492891544,0.22711907091226952,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 27, 0: 13}","{1: 0.5, 0: 0.5}","{1: 0.675, 0: 0.325}",40,100,,,,,,,,,,,,,,,,,
NEMO,nutrimouse_genotype,40,10,0.038389113993616775,4,0.6,0.3333333333333333,0.33333333333333337,1.0,0.2,0.12090523533434401,0.031055900621118012,0.23034661225454323,-0.03395368357693115,1.2346231877512222,2.7706797138542107,0.2620020423937352,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 36, 1: 4}","{1: 0.5, 0: 0.5}","{0: 0.9, 1: 0.1}",40,100,,,,,,,,,,,,,,,,,
NEMO,nutrimouse_genotype,40,10,0.03903927200008184,5,0.6,0.3333333333333333,0.7142857142857143,0.5555555555555556,1.0,0.12090523533434401,0.031055900621118012,0.23034661225454323,0.020408013543138988,0.9233512760076472,3.663311814416632,0.25183360267390564,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 36, 1: 4}","{1: 0.5, 0: 0.5}","{0: 0.9, 1: 0.1}",40,100,,,,,,,,,,,,,,,,,
NEMO,nutrimouse_genotype,40,10,0.03882270201575011,6,0.95,0.9045340337332909,0.9473684210526316,1.0,0.9,0.7564420257873864,0.8050513022888713,0.7637954966984672,0.08393441493951957,4.510834978538219,2.796719970140893,0.31677359025833723,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 22, 0: 18}","{1: 0.5, 0: 0.5}","{1: 0.55, 0: 0.45}",40,100,,,,,,,,,,,,,,,,,
NEMO,nutrimouse_genotype,40,10,0.03860491298837587,7,0.6,0.3333333333333333,0.33333333333333337,1.0,0.2,0.12090523533434401,0.031055900621118012,0.23034661225454323,-0.002672740995103183,0.7365541859581894,3.9673421651300185,0.22070331240514848,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 36, 1: 4}","{1: 0.5, 0: 0.5}","{0: 0.9, 1: 0.1}",40,100,,,,,,,,,,,,,,,,,
NEMO,nutrimouse_genotype,40,10,0.039384698000503704,8,0.675,0.4605661864718383,0.5185185185185185,1.0,0.35,0.22366934366516672,0.1093109506148741,0.30190885893117436,0.05571213462935735,2.1736452523452234,3.0558310854586503,0.2808113291472117,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 33, 1: 7}","{1: 0.5, 0: 0.5}","{0: 0.825, 1: 0.175}",40,100,,,,,,,,,,,,,,,,,
