alg,dataset,n_samples,% incomplete samples,time,execution,ACC,MCC,F1,precision,recall,ami,ari,completeness,silhouette,vrc,db,dunn,random_acc,random_f1,label_sizes,cluster_sizes,relative_label_sizes,relative_cluster_sizes,n_clustered_samples,percentage_clustered_samples,only_complete_samples,sub_ACC,sub_MCC,sub_F1,sub_precision,sub_recall,sub_ami,sub_ari,sub_completeness,sub_silhouette,sub_vrc,sub_db,sub_dunn,sub_random_acc,sub_random_f1,sub_label_sizes,sub_relative_label_sizes,comments
Concat,nutrimouse_genotype,40,0,0.029821348027326167,0,0.575,0.15491933384829668,0.5142857142857143,0.6,0.45,-0.0014756081228839801,-0.0015763546798029558,0.018232089659826263,0.1939013057446644,12.451346342755604,1.678584106247056,0.42555932310893224,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1.0: 25, 0.0: 15}","{1: 0.5, 0: 0.5}","{1.0: 0.625, 0.0: 0.375}",40,100,True,,,,,,,,,,,,,,,,,
Concat,nutrimouse_genotype,40,0,0.018354716012254357,1,0.6,0.2041241452319315,0.5555555555555556,0.625,0.5,0.011914238989199976,0.015772870662460567,0.03121182994521285,0.18974327432111626,12.439817443756514,1.698890558282939,0.42555932310893224,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1.0: 24, 0.0: 16}","{1: 0.5, 0: 0.5}","{1.0: 0.6, 0.0: 0.4}",40,100,True,,,,,,,,,,,,,,,,,
Concat,nutrimouse_genotype,40,0,0.017770752019714564,2,0.575,0.15491933384829668,0.5142857142857143,0.6,0.45,-0.0014756081228839801,-0.0015763546798029558,0.018232089659826263,0.1939013057446644,12.451346342755604,1.678584106247056,0.42555932310893224,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0.0: 25, 1.0: 15}","{1: 0.5, 0: 0.5}","{0.0: 0.625, 1.0: 0.375}",40,100,True,,,,,,,,,,,,,,,,,
Concat,nutrimouse_genotype,40,0,0.017580218031071126,3,0.575,0.15491933384829668,0.5142857142857143,0.6,0.45,-0.0014756081228839801,-0.0015763546798029558,0.018232089659826263,0.1939013057446644,12.451346342755604,1.678584106247056,0.42555932310893224,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0.0: 25, 1.0: 15}","{1: 0.5, 0: 0.5}","{0.0: 0.625, 1.0: 0.375}",40,100,True,,,,,,,,,,,,,,,,,
Concat,nutrimouse_genotype,40,0,0.01773481396958232,4,0.6,0.2041241452319315,0.5555555555555556,0.625,0.5,0.011914238989199976,0.015772870662460567,0.03121182994521285,0.18974327432111626,12.439817443756514,1.698890558282939,0.42555932310893224,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1.0: 24, 0.0: 16}","{1: 0.5, 0: 0.5}","{1.0: 0.6, 0.0: 0.4}",40,100,True,,,,,,,,,,,,,,,,,
Concat,nutrimouse_genotype,40,0,0.017469657002948225,5,0.575,0.15491933384829668,0.5142857142857143,0.6,0.45,-0.0014756081228839801,-0.0015763546798029558,0.018232089659826263,0.1939013057446644,12.451346342755604,1.678584106247056,0.42555932310893224,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0.0: 25, 1.0: 15}","{1: 0.5, 0: 0.5}","{0.0: 0.625, 1.0: 0.375}",40,100,True,,,,,,,,,,,,,,,,,
Concat,nutrimouse_genotype,40,0,0.017394099035300314,6,0.575,0.15491933384829668,0.5142857142857143,0.6,0.45,-0.0014756081228839801,-0.0015763546798029558,0.018232089659826263,0.1939013057446644,12.451346342755604,1.678584106247056,0.42555932310893224,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1.0: 25, 0.0: 15}","{1: 0.5, 0: 0.5}","{1.0: 0.625, 0.0: 0.375}",40,100,True,,,,,,,,,,,,,,,,,
Concat,nutrimouse_genotype,40,0,0.01790601701941341,7,0.6,0.2041241452319315,0.5555555555555556,0.625,0.5,0.011914238989199976,0.015772870662460567,0.03121182994521285,0.18974327432111626,12.439817443756514,1.698890558282939,0.42555932310893224,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0.0: 24, 1.0: 16}","{1: 0.5, 0: 0.5}","{0.0: 0.6, 1.0: 0.4}",40,100,True,,,,,,,,,,,,,,,,,
Concat,nutrimouse_genotype,40,0,0.017232876969501376,8,0.575,0.15491933384829668,0.5142857142857143,0.6,0.45,-0.0014756081228839801,-0.0015763546798029558,0.018232089659826263,0.1939013057446644,12.451346342755604,1.678584106247056,0.42555932310893224,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0.0: 25, 1.0: 15}","{1: 0.5, 0: 0.5}","{0.0: 0.625, 1.0: 0.375}",40,100,True,,,,,,,,,,,,,,,,,
Concat,nutrimouse_genotype,40,0,0.01746387401362881,9,0.6,0.2041241452319315,0.5555555555555556,0.625,0.5,0.011914238989199976,0.015772870662460567,0.03121182994521285,0.18974327432111626,12.439817443756514,1.698890558282939,0.42555932310893224,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0.0: 24, 1.0: 16}","{1: 0.5, 0: 0.5}","{0.0: 0.6, 1.0: 0.4}",40,100,True,,,,,,,,,,,,,,,,,
Concat,nutrimouse_genotype,40,0,0.017687771993223578,0,0.575,0.15491933384829668,0.5142857142857143,0.6,0.45,-0.0014756081228839801,-0.0015763546798029558,0.018232089659826263,0.19390130574466438,12.451346342755604,1.678584106247056,0.42555932310893235,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 25, 0: 15}","{1: 0.5, 0: 0.5}","{1: 0.625, 0: 0.375}",40,100,False,,,,,,,,,,,,,,,,,
